"Name","Match","EXTRACT","New","Revision","Ticker","Obsolete Date","Obsolete Month","Obsolete Year","Inception Date...4","Inception Month","Inception Year","Obsolete Type","US Category Group","Firm Name","Inception Date...8","Net Assets Date","Net Assets - Share Class USD","Share Class Type","Index Fund","Estimated Share Class Net Flow (Yearly) Year2015 USD","Estimated Share Class Net Flow (Yearly) Year2016 USD","Estimated Share Class Net Flow (Yearly) Year2017 USD","Estimated Share Class Net Flow (Yearly) Year2018 USD","Estimated Share Class Net Flow (Yearly) Year2019 USD","Annual Report Net Expense Ratio Year2015","Annual Report Net Expense Ratio Year2016","Annual Report Net Expense Ratio Year2017","Annual Report Net Expense Ratio Year2018","Annual Report Net Expense Ratio Year2019","Inception Date","Same_Year"
"SEI New York Municipal Bond Y (STET)",TRUE," Y (STET)","Y","Y","SNYYX",NA,NA,NA,2015-10-30,10,2015,NA,"Municipal Bond","SEI",2015-10-30,2020-01-21,18688914,"Inst","No",NA,-858.028,17499471.487,492283.631,-459059.714,NA,0.45,0.45,0.45,0.45,NA,NA
"PGIM Real Estate Income C",TRUE," C","C","C","PRKCX",NA,NA,NA,2015-06-03,6,2015,NA,"Sector Equity","PGIM Funds (Prudential)",2015-06-03,2020-01-21,723214,"C","No",59623.483,326893.248,-96999.634,160718.444,134173.288,2.13,2.1,2.1,2.11,2.1,NA,NA
"Fidelity Advisor® Intl Capital App Z",TRUE," Z","Z","Z","FIDZX",NA,NA,NA,2017-02-01,2,2017,NA,"International Equity","Fidelity Investments",2017-02-01,2019-12-31,482559397,"Inst","No",NA,NA,67270949.557,101909274.592,250117289.572,NA,NA,0.96,0.83,0.85,NA,NA
"Virtus Seix US Govt Secs Ultr-ShBdIS{mg}",TRUE," Ultr-ShBdIS{mg}","UltrShBdIS","IS",NA,2017-07-14,7,2017,2017-06-01,6,2017,"Merged",NA,"Virtus",2017-06-01,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-01,1
"Virtus Seix Investment Gr Tx-Ex Bd I{mg}",TRUE," I{mg}","I","Instl",NA,2017-07-14,7,2017,2017-06-01,6,2017,"Merged",NA,"Virtus",2017-06-01,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-01,1
"Virtus Seix High Yield A{mg}",TRUE," A{mg}","A","A",NA,2017-07-14,7,2017,2017-06-01,6,2017,"Merged",NA,"Virtus",2017-06-01,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-01,1
"Nationwide Amundi Strat Inc A",TRUE," A","A","A","NWXEX",NA,NA,NA,2015-11-02,11,2015,NA,"Taxable Bond","Nationwide",2015-11-02,2020-01-21,3187078,"A","No",100069.383,26461.241,380549.02,1995396.75,-102842.346,NA,0.97,0.93,0.94,1.06,NA,NA
"Aberdeen Multi-Manager Alt Strats II R",TRUE," R","R","R",NA,2016-10-14,10,2016,2016-02-29,2,2016,"Liquidated","Alternative","Aberdeen",2016-02-29,2016-10-05,9769,"Retirement","No",NA,156.026,NA,NA,NA,NA,NA,NA,NA,NA,2016-02-29,1
"Transamerica Mid Cap Growth T1",TRUE," T1","T1","T1",NA,2019-02-15,2,2019,2017-03-17,3,2017,"Liquidated","U.S. Equity","Transamerica",2017-03-17,2019-02-15,10665,"Other","No",NA,NA,10050.191,324.152,NA,NA,NA,1.11,1,NA,2017-03-17,0
"Centerstone International A",TRUE," A","A","A","CSIAX",NA,NA,NA,2016-05-03,5,2016,NA,"International Equity","Centerstone Investors",2016-05-03,2020-01-21,17568371,"A","No",NA,1271157.699,12218351.544,9716772.175,-5727462.395,NA,NA,1.35,1.35,1.35,NA,NA
"AB International Strategic Core A",TRUE," A","A","A","ISARX",NA,NA,NA,2015-07-29,7,2015,NA,"International Equity","AllianceBernstein",2015-07-29,2020-01-21,1727563,"A","No",9881.889,83020.309,145502.841,763255.576,349129.228,NA,1.2,1.19,1.19,1.2,NA,NA
"MFS Commodity Strategy R2",TRUE," R2","R2","R2","MCSOX",NA,NA,NA,2018-08-15,8,2018,NA,"Commodities","MFS",2018-08-15,2020-01-21,48087,"Retirement","No",NA,NA,NA,49213.583,77.367,NA,NA,NA,1.43,1.33,NA,NA
