"Name","Match","EXTRACT","New","Revision","Ticker","Obsolete Date","Obsolete Month","Obsolete Year","Obsolete Type","US Category Group","Firm Name","Inception Date","Inception Month","Inception Year","Net Assets Date","Net Assets - Share Class USD","Share Class Type","Index Fund","Estimated Share Class Net Flow (Yearly) Year2015 USD","Estimated Share Class Net Flow (Yearly) Year2016 USD","Estimated Share Class Net Flow (Yearly) Year2017 USD","Estimated Share Class Net Flow (Yearly) Year2018 USD","Estimated Share Class Net Flow (Yearly) Year2019 USD","Annual Report Net Expense Ratio Year2015","Annual Report Net Expense Ratio Year2016","Annual Report Net Expense Ratio Year2017","Annual Report Net Expense Ratio Year2018","Annual Report Net Expense Ratio Year2019","Inception Date...4","Inception Date...8","Same_Year"
"Delaware Growth Equity Instl{mg}",TRUE," Instl{mg}","Instl","Instl",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Growth Equity R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Healthcare A Load Waived",TRUE," A Load Waived","A","A","DLHAX.lw",2016-11-30,11,2016,"Liquidated","Sector Equity","Delaware Funds by Macquarie",2007-09-28,9,2007,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.36,1.37,NA,NA,NA,NA,NA,NA
"Delaware Hedged U.S. Eq Opps A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Hedged U.S. Eq Opps Instl{mg}",TRUE," Instl{mg}","Instl","Instl",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Hedged U.S. Eq Opps R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware High-Yield Opportunities A LW",TRUE," A LW","A","A","DHOAX.lw",2016-11-30,11,2016,"Liquidated","Taxable Bond","Delaware Funds by Macquarie",1996-12-30,12,1996,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.07,1.06,NA,NA,NA,NA,NA,NA
"Delaware Inflation Protected Bond A",TRUE," A","A","A","DIPAX",2015-06-12,6,2015,"Liquidated","Taxable Bond","Macquarie Investment Management",2004-12-01,12,2004,2015-06-12,10972203,"A","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware Inflation Protected Bond A LW",TRUE," A LW","A","A","DIPAX.lw",2015-06-12,6,2015,"Liquidated","Taxable Bond","Macquarie Investment Management",2004-12-01,12,2004,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware Inflation Protected Bond C",TRUE," C","C","C","DIPCX",2015-06-12,6,2015,"Liquidated","Taxable Bond","Macquarie Investment Management",2004-12-01,12,2004,2015-06-12,8498602,"C","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware Inflation Protected Bond Inst",TRUE," Inst","Inst","Instl","DIPIX",2015-06-12,6,2015,"Liquidated","Taxable Bond","Macquarie Investment Management",2004-12-01,12,2004,2015-06-12,4582337,"Inst","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware International A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware International Instl{mg}",TRUE," Instl{mg}","Instl","Instl",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware International Opps Bd A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware International Opps Bd R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware International Opps BdInstl{mg}",TRUE," BdInstl{mg}","BdInstl","Instl",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware International R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware International Small Cap A LW",TRUE," A LW","A","A","DGGAX.lw",2016-11-30,11,2016,"Liquidated","International Equity","Delaware Funds by Macquarie",2008-12-29,12,2008,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.45,NA,NA,NA,NA,NA,NA,NA
"Delaware Intl Value Equity A LW",TRUE," A LW","A","A","DEGIX.lw",2016-11-30,11,2016,"Liquidated","International Equity","Delaware Funds by Macquarie",1991-10-31,10,1991,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA
"Delaware Investment Grade A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Investment Grade Instl{mg}",TRUE," Instl{mg}","Instl","Instl",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Investment Grade R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Limited Duration Bd A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Limited Duration Bd Instl{mg}",TRUE," Instl{mg}","Instl","Instl",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Limited Duration Bd R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Limited-Term Diversified I A LW",TRUE," A LW","A","A","DTRIX.lw",2016-11-30,11,2016,"Liquidated","Taxable Bond","Delaware Funds by Macquarie",1985-11-25,11,1985,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA
"Delaware Mid Cap Value A Load Waived",TRUE," A Load Waived","A","A","DLMAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","Delaware Funds by Macquarie",2008-02-01,2,2008,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA
"Delaware MN High-Yield Muni Bd A LW",TRUE," A LW","A","A","DVMHX.lw",2016-11-30,11,2016,"Liquidated","Municipal Bond","Delaware Funds by Macquarie",1996-06-04,6,1996,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.91,0.89,NA,NA,NA,NA,NA,NA
